ZFIN ID	SO ID	Symbol	NCBI Gene ID	
ZDB-GENE-010308-11	SO:0001217	or42d2	80363
ZDB-GENE-010308-12	SO:0001217	or42e2	80372
ZDB-GENE-010308-14	SO:0001217	or42c3	80364
ZDB-GENE-010308-16	SO:0001217	or42d3	80365
ZDB-GENE-010308-17	SO:0001217	or42d1	80366
ZDB-GENE-010308-19	SO:0001217	or42e3	791954
ZDB-GENE-010308-21	SO:0001217	or40a1	80368
ZDB-GENE-010308-22	SO:0001217	or71al2	554777
ZDB-GENE-010308-3	SO:0001217	or30by3	554780
ZDB-GENE-010308-4	SO:0001217	or30bw1	80357
ZDB-GENE-010308-5	SO:0001217	or30bx1	80358
ZDB-GENE-010308-8	SO:0001217	or30bt2	554779
ZDB-GENE-010309-1	SO:0001217	or70a2	80359
ZDB-GENE-010309-2	SO:0001217	or70a12	80360
ZDB-GENE-010309-3	SO:0001217	or70a4	80361
ZDB-GENE-010316-1	SO:0001217	slc6a3	80787
ZDB-GENE-010319-1	SO:0001217	dvl3a	80972
ZDB-GENE-010319-10	SO:0001217	id:ibd2600	80928
ZDB-GENE-010319-11	SO:0001217	id:ibd2048	80929
ZDB-GENE-010319-12	SO:0001217	id:ibd2217	80930
ZDB-GENE-010319-16	SO:0001217	id:ibd2028	80934
ZDB-GENE-010319-18	SO:0001217	id:ibd2734	80936
ZDB-GENE-010319-23	SO:0001217	id:ibd2007	80947
ZDB-GENE-010319-26	SO:0001217	id:ibd5098	80950
ZDB-GENE-010319-27	SO:0001217	ttc7a	559345
ZDB-GENE-010319-28	SO:0001217	id:ibd5101	80952
ZDB-GENE-010319-3	SO:0001217	nacc1a	80917
ZDB-GENE-010319-31	SO:0001217	siah1	80955
ZDB-GENE-010319-35	SO:0001217	pard6gb	80959
ZDB-GENE-010319-40	SO:0001217	rnd3a	80963
ZDB-GENE-010319-41	SO:0001217	id:ibd5141	80964
ZDB-GENE-010320-1	SO:0001217	cdk1	80973
ZDB-GENE-010320-2	SO:0001217	cdk7	405897
ZDB-GENE-010323-11	SO:0001217	enah	541394
ZDB-GENE-010323-5	SO:0001217	papss2b	80939
ZDB-GENE-010328-1	SO:0001217	cldna	81580
ZDB-GENE-010328-10	SO:0001217	cldnj	81589
ZDB-GENE-010328-11	SO:0001217	cldn1	81590
ZDB-GENE-010328-12	SO:0001217	cldn15la	81591
ZDB-GENE-010328-13	SO:0001217	cldn11b	81592
ZDB-GENE-010328-14	SO:0001217	cldn12	81593
ZDB-GENE-010328-15	SO:0001217	hip1	793823
ZDB-GENE-010328-16	SO:0001217	baz1b	571727
ZDB-GENE-010328-17	SO:0001217	bcl7bb	81595
ZDB-GENE-010328-18	SO:0001217	gtf2ird1	81597
ZDB-GENE-010328-19	SO:0001217	eif4h	402996
ZDB-GENE-010328-2	SO:0001217	cldnb	81581
ZDB-GENE-010328-3	SO:0001217	cldn3d	81582
ZDB-GENE-010328-4	SO:0001217	cldnd	81583
ZDB-GENE-010328-5	SO:0001217	cldne	81584
ZDB-GENE-010328-6	SO:0001217	cldnf	81585
ZDB-GENE-010328-7	SO:0001217	cldng	81586
ZDB-GENE-010328-8	SO:0001217	cldn3c	81587
ZDB-GENE-010328-9	SO:0001217	cldni	569084
ZDB-GENE-010403-1	SO:0001217	crx	81881
ZDB-GENE-010404-1	SO:0001217	nkx2.1	81883
ZDB-GENE-010406-1	SO:0001217	anxa13	81880
ZDB-GENE-010406-2	SO:0001217	meis3	81885
ZDB-GENE-010406-3	SO:0001217	ncoa2	81884
ZDB-GENE-010406-4	SO:0001217	vipr2	81886
ZDB-GENE-010406-5	SO:0001217	dhfr	81882
ZDB-GENE-010410-2	SO:0001217	glrba	83412
ZDB-GENE-010410-3	SO:0001217	glra4a	83413
ZDB-GENE-010412-1	SO:0001217	six2a	83415
ZDB-GENE-010413-1	SO:0001217	ssr2	83414
ZDB-GENE-010416-1	SO:0001217	bambia	83496
ZDB-GENE-010426-1	SO:0001217	dmd	83773
ZDB-GENE-010426-2	SO:0001217	cry1a	100003956
ZDB-GENE-010426-3	SO:0001217	cry1b	554836
ZDB-GENE-010426-4	SO:0001217	cry3a	573209
ZDB-GENE-010426-5	SO:0001217	cry3b	83780
ZDB-GENE-010426-6	SO:0001217	cry2	83774
ZDB-GENE-010426-7	SO:0001217	cry4	83775
ZDB-GENE-010426-8	SO:0001217	cry5	83776
ZDB-GENE-010430-2	SO:0001217	vps52	556724
ZDB-GENE-010430-3	SO:0001217	mmut	569581
ZDB-GENE-010430-4	SO:0001217	ppt2b	100126133
ZDB-GENE-010430-5	SO:0001217	skic2	559653
ZDB-GENE-010501-1	SO:0001217	nfya	83915
ZDB-GENE-010501-3	SO:0001217	pbrm1l	445141
ZDB-GENE-010501-4	SO:0001217	prrc2a	394248
ZDB-GENE-010501-5	SO:0001217	bag6	83910
ZDB-GENE-010501-6	SO:0001217	ehmt2	569250
ZDB-GENE-010502-1	SO:0001217	hmga1a	406447
ZDB-GENE-010502-2	SO:0001217	psma6l	83917
ZDB-GENE-010503-1	SO:0001217	ucp1	83908
ZDB-GENE-010504-1	SO:0001217	nr5a1a	83916
ZDB-GENE-010507-2	SO:0001217	clic3	84040
ZDB-GENE-010508-1	SO:0001217	bco1	84039
ZDB-GENE-010509-1	SO:0001217	bco2l	84041
ZDB-GENE-010509-2	SO:0001217	twsg1a	84037
ZDB-GENE-010522-1	SO:0001217	cp	84702
ZDB-GENE-010525-1	SO:0001217	slc4a1a	84703
ZDB-GENE-010601-1	SO:0001217	vars1	114427
ZDB-GENE-010601-2	SO:0001217	abhd16a	564613
ZDB-GENE-010605-2	SO:0001217	mafa	114467
ZDB-GENE-010605-3	SO:0001217	mafaa	100000492
ZDB-GENE-010605-4	SO:0001217	mafbb	114463
ZDB-GENE-010605-5	SO:0001217	apom	569714
ZDB-GENE-010606-1	SO:0001217	cdh1	114424
ZDB-GENE-010607-1	SO:0001217	ube2ia	114445
ZDB-GENE-010607-2	SO:0001217	igf1	114433
ZDB-GENE-010607-3	SO:0001217	gja8b	114403
ZDB-GENE-010608-1	SO:0001217	neurod6a	114414
ZDB-GENE-010608-2	SO:0001217	neurod6b	114415
ZDB-GENE-010608-3	SO:0001217	neurod2	114435
ZDB-GENE-010608-4	SO:0001217	neurog3	114411
ZDB-GENE-010611-1	SO:0001217	cebp1	114453
ZDB-GENE-010613-1	SO:0001217	bhik	114357
ZDB-GENE-010614-1	SO:0001217	cxcr4b	114447
ZDB-GENE-010618-1	SO:0001217	efnb2b	114402
ZDB-GENE-010618-2	SO:0001217	efnb1	114377
ZDB-GENE-010618-3	SO:0001217	efnb3b	114378
ZDB-GENE-010619-1	SO:0001217	gjc4a.1	114404
ZDB-GENE-010619-2	SO:0001217	gjb1a	114405
ZDB-GENE-010620-1	SO:0001217	nots	114367
ZDB-GENE-010621-1	SO:0001217	zeb1b	114425
ZDB-GENE-010622-1	SO:0001217	zp2.2	114438
ZDB-GENE-010622-2	SO:0001217	zp2.3	114439
ZDB-GENE-010625-1	SO:0001217	dusp5	114436
ZDB-GENE-010702-1	SO:0001217	lmo4a	114412
ZDB-GENE-010705-1	SO:0001217	gng3	114462
ZDB-GENE-010713-1	SO:0001217	cnmd	791772
ZDB-GENE-010716-1	SO:0001217	irx1b	114430
ZDB-GENE-010716-2	SO:0001217	irx5a	573346
ZDB-GENE-010716-3	SO:0001217	lcat	793137
ZDB-GENE-010717-1	SO:0001217	znf703	114429
ZDB-GENE-010718-1	SO:0001217	atp1b2b	114457
ZDB-GENE-010724-1	SO:0001217	blzf1	114452
ZDB-GENE-010724-10	SO:0001217	epha3	795902
ZDB-GENE-010724-11	SO:0001217	ppp1r12c	570218
ZDB-GENE-010724-12	SO:0001217	casq2	114410
ZDB-GENE-010724-14	SO:0001217	ceacam1	114465
ZDB-GENE-010724-15	SO:0001217	rps9	114420
ZDB-GENE-010724-16	SO:0001217	dnase2	100000399
ZDB-GENE-010724-17	SO:0001217	erf	560416
ZDB-GENE-010724-18	SO:0001217	apoea	553587
ZDB-GENE-010724-2	SO:0001217	capn9	445107
ZDB-GENE-010724-3	SO:0001217	sec22ba	114464
ZDB-GENE-010724-4	SO:0001217	mpz	114417
ZDB-GENE-010724-5	SO:0001217	arf1	114428
ZDB-GENE-010724-6	SO:0001217	fh	393938
ZDB-GENE-010724-7	SO:0001217	copb2	114454
ZDB-GENE-010724-8	SO:0001217	dlg1a	114446
ZDB-GENE-010724-9	SO:0001217	arpc4	114456
ZDB-GENE-010726-1	SO:0001217	btg1	114432
ZDB-GENE-010727-1	SO:0001217	etv6	114444
ZDB-GENE-010730-1	SO:0001217	bcl2l1	114401
